no	category	content	exam1	exam2	exam3	exam4	answer
521	상식	_번 찍어 안넘어가는 나무 없다	열	백	한	십	1
522	상식	닭 잡아먹고 _ _발 내밀기	거위	토끼	오리	돼지	3
523	상식	_ _ 말에 채찍질 한다	가는	오는	노는	쉬는	1
524	상식	_ _ 도둑이 소도둑 된다	연필	가방	가위	바늘	4
525	상식	바늘 가는 데 _ 간다	실	침	털	탑	1
526	상식	달면 삼키고 _면 뱉는다	쓰	찌	짜	걸	1
527	상식	물과 물고기처럼 서로 떨어질 수 없는 친한 사이	지란지교	오병이어	수어지교	붕우유신	3
528	상식	사욕을 버리고 공익을 위하여 힘씀	살신성인	멸사봉공	친정봉사	사사오입	2
529	상식	겉으로는 같이 행동하면서도 속으로는 각각 딴 생각을 하고 있음	동상이몽	영웅본색	마두출령	청운지지	1
5210	상식	적을 거침없이 물리치고 쳐들어가는 기세	난감할세	파죽지세	박혁거세	지란지세	2
5211	상식	겉으로는 부드럽고 순하게 보이나 속은 곧고 굳셈	수신제가	외유내강	이이제이	치국천하	2
5212	상식	가까운 혈족기리 서로싸움	골다공증	골육	골육상쟁	상쟁	3
5213	상식	누울자리 봐가며 _뻗는다	무릎	발	손	다리	2
5214	상식	가만히 있으면 __이나 간다	가만	백번	조금	중간	4
5215	상식	선을 ___긋다	반듯이	반드시	반듣이	반듯시	1
5216	상식	분노를 ___	사켰다	삭혔다	삮혔다	삭였다	4
5217	상식	___ 수 없는 불길	겉잡을	걷잡을	것잡을	거짜블	2
5218	상식	가가문전	형을 부르는 말	모든 집	집마다의 문앞	너무 우스워서 껄껄 웃음	3
5219	상식	나부지몽	미인을 이르는 말	구름을 손으로 붙잡는다는 뜻	덧없는 한바탕의 꿈	푸닥거리하는 소리	3
5220	상식	삼생가약	삼생을 두고 끊어지지 않을 아름다운 언약	남자와 여자가 혼인을 하는 일	딸이 시집가는 일	부부 사이의 정	1
