no	category	content	exam1	exam2	exam3	exam4	answer
811	신조어	군싹	군대새싹	군밤싹쓸이	군침이싹도네	군대잡초	3
812	신조어	스불재	줄임말이 아님	생선붉고기	스스로 불러온 재앙	스파게티 불고기 재료	3
813	신조어	머선129	소방번호	무슨일이야?	버선종류	지하철노선번호	2
814	신조어	억텐	수억원짜리 텐트	억센텐트	억센텐텐	억지텐션	4
815	신조어	억까	뿌까친구	억지로까내림	어쩌라구	까마귀가 우는 소리	2
816	신조어	임포	가수이름	임시 점포	남을 사칭하여 속이는자, 사기꾼	지역이름	3
817	신조어	쫌쫌따리	조금씩 뭔가가 붙어있을 때	쿵쿵따리의 다른 버전	조금있다가	한참 뒤에	1
818	신조어	갑통알	갑오징어 통알 감자	감빠에 큰 알이 베김	갑자기 큰 알이 베김	갑자기 통장을보니 알바를 해야겠다	4
819	신조어	애빼시	애교 빼고 시작	애교 빼라	애교 빼면 시체	애는 빼고 시작	3
8110	신조어	문송합니다	문과라서 죄송합니다	문자 송신합니다	문자 수신합니다	문으로 배송합니다	1
8111	신조어	에어노마드족	집에서 일하는 사람들	원시 부족이름	대기오염을 피해 공기좋은 곳으로 이주한 사람들	자연인의 다른말	3
8112	신조어	일코노미	1인가구의 경제	일반인코스프레	경제	일반인코	1
8113	신조어	스몸비	스마트폰좀비	래퍼이름	이슬비같은 비의 종류	빅스비친구	1
8114	신조어	삼귀다	섬기는 것을 다르게 표현	사귀는 사이는 아니지만 친한사이	귀신의 이름	사귀는사이	2
8115	신조어	엄근진	청바지의 종류	엄격근엄진지	연예인이름	엄마근처진짬뽕	2
8116	신조어	latte is horse	어제는 말이야	예쓰 너 말이야	나때는 말이야	지금은 말이야	3
8117	신조어	핑프	핑거 프리마	핑거 프라우드	핑거프린스, 프린세스	손가락 프링글스	3
8118	신조어	자만추	자메이카 만두 추가	자극적인 만남 추구	자장면 만두 추가	자연적인 만남 추구	4
8119	신조어	혼틈	결혼을 틈타	혼틈새로 비치는	혼란을 틈타	영혼의 틈	3
8120	신조어	꾸안꾸	꾸미고안꾸미고	애교의 의성어	꾸러기인듯 안꾸러기인듯	꾸민듯 안꾸민듯	4
8121	신조어	오저치고	오..저를 치고가세요	오늘 저녁에 치약대신 고추냉이	어늘 저녁에 치킨 고?	오..저는 지치고...	3
