no	category	content	exam1	exam2	exam3	exam4	answer
801	신조어	군싹	군대새싹	군밤싹쓸이	군침이싹도네	군대잡초	3
802	신조어	스불재	줄임말이 아님	생선붉고기	스스로 불러온 재앙	스파게티 불고기 재료	3
803	신조어	머선129	소방번호	무슨일이야?	버선종류	지하철노선번호	2
804	신조어	억텐	수억원짜리 텐트	억센텐트	억센텐텐	억지텐션	4
805	신조어	억까	뿌까친구	억지로까내림	어쩌라구	까마귀가 우는 소리	2
806	신조어	임포	가수이름	임시 점포	남을 사칭하여 속이는자, 사기꾼	지역이름	3
807	신조어	쫌쫌따리	조금씩 뭔가가 붙어있을 때	쿵쿵따리의 다른 버전	조금있다가	한참 뒤에	1
808	신조어	갑통알	갑오징어 통알 감자	감빠에 큰 알이 베김	갑자기 큰 알이 베김	갑자기 통장을보니 알바를 해야겠다	4
809	신조어	애빼시	애교 빼고 시작	애교 빼라	애교 빼면 시체	애는 빼고 시작	3
8010	신조어	문송합니다	문과라서 죄송합니다	문자 송신합니다	문자 수신합니다	문으로 배송합니다	1
8011	신조어	에어노마드족	집에서 일하는 사람들	원시 부족이름	대기오염을 피해 공기좋은 곳으로 이주한 사람들	자연인의 다른말	3
8012	신조어	일코노미	1인가구의 경제	일반인코스프레	경제	일반인코	1
8013	신조어	스몸비	스마트폰좀비	래퍼이름	이슬비같은 비의 종류	빅스비친구	1
8014	신조어	삼귀다	섬기는 것을 다르게 표현	사귀는 사이는 아니지만 친한사이	귀신의 이름	사귀는사이	2
8015	신조어	엄근진	청바지의 종류	엄격근엄진지	연예인이름	엄마근처진짬뽕	2
8016	신조어	latte is horse	어제는 말이야	예쓰 너 말이야	나때는 말이야	지금은 말이야	3
8017	신조어	핑프	핑거 프리마	핑거 프라우드	핑거프린스, 프린세스	손가락 프링글스	3
8018	신조어	자만추	자메이카 만두 추가	자극적인 만남 추구	자장면 만두 추가	자연적인 만남 추구	4
8019	신조어	혼틈	결혼을 틈타	혼틈새로 비치는	혼란을 틈타	영혼의 틈	3
8020	신조어	꾸안꾸	꾸미고안꾸미고	애교의 의성어	꾸러기인듯 안꾸러기인듯	꾸민듯 안꾸민듯	4
8021	신조어	오저치고	오..저를 치고가세요	오늘 저녁에 치약대신 고추냉이	어늘 저녁에 치킨 고?	오..저는 지치고...	3
811	신조어	군싹	군대새싹	군밤싹쓸이	군침이싹도네	군대잡초	3
812	신조어	스불재	줄임말이 아님	생선붉고기	스스로 불러온 재앙	스파게티 불고기 재료	3
813	신조어	머선129	소방번호	무슨일이야?	버선종류	지하철노선번호	2
814	신조어	억텐	수억원짜리 텐트	억센텐트	억센텐텐	억지텐션	4
815	신조어	억까	뿌까친구	억지로까내림	어쩌라구	까마귀가 우는 소리	2
816	신조어	임포	가수이름	임시 점포	남을 사칭하여 속이는자, 사기꾼	지역이름	3
817	신조어	쫌쫌따리	조금씩 뭔가가 붙어있을 때	쿵쿵따리의 다른 버전	조금있다가	한참 뒤에	1
818	신조어	갑통알	갑오징어 통알 감자	감빠에 큰 알이 베김	갑자기 큰 알이 베김	갑자기 통장을보니 알바를 해야겠다	4
819	신조어	애빼시	애교 빼고 시작	애교 빼라	애교 빼면 시체	애는 빼고 시작	3
8110	신조어	문송합니다	문과라서 죄송합니다	문자 송신합니다	문자 수신합니다	문으로 배송합니다	1
8111	신조어	에어노마드족	집에서 일하는 사람들	원시 부족이름	대기오염을 피해 공기좋은 곳으로 이주한 사람들	자연인의 다른말	3
8112	신조어	일코노미	1인가구의 경제	일반인코스프레	경제	일반인코	1
8113	신조어	스몸비	스마트폰좀비	래퍼이름	이슬비같은 비의 종류	빅스비친구	1
8114	신조어	삼귀다	섬기는 것을 다르게 표현	사귀는 사이는 아니지만 친한사이	귀신의 이름	사귀는사이	2
8115	신조어	엄근진	청바지의 종류	엄격근엄진지	연예인이름	엄마근처진짬뽕	2
8116	신조어	latte is horse	어제는 말이야	예쓰 너 말이야	나때는 말이야	지금은 말이야	3
8117	신조어	핑프	핑거 프리마	핑거 프라우드	핑거프린스, 프린세스	손가락 프링글스	3
8118	신조어	자만추	자메이카 만두 추가	자극적인 만남 추구	자장면 만두 추가	자연적인 만남 추구	4
8119	신조어	혼틈	결혼을 틈타	혼틈새로 비치는	혼란을 틈타	영혼의 틈	3
8120	신조어	꾸안꾸	꾸미고안꾸미고	애교의 의성어	꾸러기인듯 안꾸러기인듯	꾸민듯 안꾸민듯	4
8121	신조어	오저치고	오..저를 치고가세요	오늘 저녁에 치약대신 고추냉이	어늘 저녁에 치킨 고?	오..저는 지치고...	3
821	신조어	군싹	군대새싹	군밤싹쓸이	군침이싹도네	군대잡초	3
822	신조어	스불재	줄임말이 아님	생선붉고기	스스로 불러온 재앙	스파게티 불고기 재료	3
823	신조어	머선129	소방번호	무슨일이야?	버선종류	지하철노선번호	2
824	신조어	억텐	수억원짜리 텐트	억센텐트	억센텐텐	억지텐션	4
825	신조어	억까	뿌까친구	억지로까내림	어쩌라구	까마귀가 우는 소리	2
826	신조어	임포	가수이름	임시 점포	남을 사칭하여 속이는자, 사기꾼	지역이름	3
827	신조어	쫌쫌따리	조금씩 뭔가가 붙어있을 때	쿵쿵따리의 다른 버전	조금있다가	한참 뒤에	1
828	신조어	갑통알	갑오징어 통알 감자	감빠에 큰 알이 베김	갑자기 큰 알이 베김	갑자기 통장을보니 알바를 해야겠다	4
829	신조어	애빼시	애교 빼고 시작	애교 빼라	애교 빼면 시체	애는 빼고 시작	3
8210	신조어	문송합니다	문과라서 죄송합니다	문자 송신합니다	문자 수신합니다	문으로 배송합니다	1
8211	신조어	에어노마드족	집에서 일하는 사람들	원시 부족이름	대기오염을 피해 공기좋은 곳으로 이주한 사람들	자연인의 다른말	3
8212	신조어	일코노미	1인가구의 경제	일반인코스프레	경제	일반인코	1
8213	신조어	스몸비	스마트폰좀비	래퍼이름	이슬비같은 비의 종류	빅스비친구	1
8214	신조어	삼귀다	섬기는 것을 다르게 표현	사귀는 사이는 아니지만 친한사이	귀신의 이름	사귀는사이	2
8215	신조어	엄근진	청바지의 종류	엄격근엄진지	연예인이름	엄마근처진짬뽕	2
8216	신조어	latte is horse	어제는 말이야	예쓰 너 말이야	나때는 말이야	지금은 말이야	3
8217	신조어	핑프	핑거 프리마	핑거 프라우드	핑거프린스, 프린세스	손가락 프링글스	3
8218	신조어	자만추	자메이카 만두 추가	자극적인 만남 추구	자장면 만두 추가	자연적인 만남 추구	4
8219	신조어	혼틈	결혼을 틈타	혼틈새로 비치는	혼란을 틈타	영혼의 틈	3
8220	신조어	꾸안꾸	꾸미고안꾸미고	애교의 의성어	꾸러기인듯 안꾸러기인듯	꾸민듯 안꾸민듯	4
8221	신조어	오저치고	오..저를 치고가세요	오늘 저녁에 치약대신 고추냉이	어늘 저녁에 치킨 고?	오..저는 지치고...	3
521	상식	_번 찍어 안넘어가는 나무 없다	열	백	한	십	1
522	상식	닭 잡아먹고 _ _발 내밀기	거위	토끼	오리	돼지	3
523	상식	_ _ 말에 채찍질 한다	가는	오는	노는	쉬는	1
524	상식	_ _ 도둑이 소도둑 된다	연필	가방	가위	바늘	4
525	상식	바늘 가는 데 _ 간다	실	침	털	탑	1
526	상식	달면 삼키고 _면 뱉는다	쓰	찌	짜	걸	1
527	상식	물과 물고기처럼 서로 떨어질 수 없는 친한 사이	지란지교	오병이어	수어지교	붕우유신	3
528	상식	사욕을 버리고 공익을 위하여 힘씀	살신성인	멸사봉공	친정봉사	사사오입	2
529	상식	겉으로는 같이 행동하면서도 속으로는 각각 딴 생각을 하고 있음	동상이몽	영웅본색	마두출령	청운지지	1
5210	상식	적을 거침없이 물리치고 쳐들어가는 기세	난감할세	파죽지세	박혁거세	지란지세	2
5211	상식	겉으로는 부드럽고 순하게 보이나 속은 곧고 굳셈	수신제가	외유내강	이이제이	치국천하	2
5212	상식	가까운 혈족기리 서로싸움	골다공증	골육	골육상쟁	상쟁	3
5213	상식	누울자리 봐가며 _뻗는다	무릎	발	손	다리	2
5214	상식	가만히 있으면 __이나 간다	가만	백번	조금	중간	4
5215	상식	선을 ___긋다	반듯이	반드시	반듣이	반듯시	1
5216	상식	분노를 ___	사켰다	삭혔다	삮혔다	삭였다	4
5217	상식	___ 수 없는 불길	겉잡을	걷잡을	것잡을	거짜블	2
5218	상식	가가문전	형을 부르는 말	모든 집	집마다의 문앞	너무 우스워서 껄껄 웃음	3
5219	상식	나부지몽	미인을 이르는 말	구름을 손으로 붙잡는다는 뜻	덧없는 한바탕의 꿈	푸닥거리하는 소리	3
5220	상식	삼생가약	삼생을 두고 끊어지지 않을 아름다운 언약	남자와 여자가 혼인을 하는 일	딸이 시집가는 일	부부 사이의 정	1
511	상식	_번 찍어 안넘어가는 나무 없다	열	백	한	십	1
512	상식	닭 잡아먹고 _ _발 내밀기	거위	토끼	오리	돼지	3
513	상식	_ _ 말에 채찍질 한다	가는	오는	노는	쉬는	1
514	상식	_ _ 도둑이 소도둑 된다	연필	가방	가위	바늘	4
515	상식	바늘 가는 데 _ 간다	실	침	털	탑	1
516	상식	달면 삼키고 _면 뱉는다	쓰	찌	짜	걸	1
517	상식	물과 물고기처럼 서로 떨어질 수 없는 친한 사이	지란지교	오병이어	수어지교	붕우유신	3
518	상식	사욕을 버리고 공익을 위하여 힘씀	살신성인	멸사봉공	친정봉사	사사오입	2
519	상식	겉으로는 같이 행동하면서도 속으로는 각각 딴 생각을 하고 있음	동상이몽	영웅본색	마두출령	청운지지	1
5110	상식	적을 거침없이 물리치고 쳐들어가는 기세	난감할세	파죽지세	박혁거세	지란지세	2
5111	상식	겉으로는 부드럽고 순하게 보이나 속은 곧고 굳셈	수신제가	외유내강	이이제이	치국천하	2
5112	상식	가까운 혈족기리 서로싸움	골다공증	골육	골육상쟁	상쟁	3
5113	상식	누울자리 봐가며 _뻗는다	무릎	발	손	다리	2
5114	상식	가만히 있으면 __이나 간다	가만	백번	조금	중간	4
5115	상식	선을 ___긋다	반듯이	반드시	반듣이	반듯시	1
5116	상식	분노를 ___	사켰다	삭혔다	삮혔다	삭였다	4
5117	상식	___ 수 없는 불길	겉잡을	걷잡을	것잡을	거짜블	2
5118	상식	가가문전	형을 부르는 말	모든 집	집마다의 문앞	너무 우스워서 껄껄 웃음	3
5119	상식	나부지몽	미인을 이르는 말	구름을 손으로 붙잡는다는 뜻	덧없는 한바탕의 꿈	푸닥거리하는 소리	3
5120	상식	삼생가약	삼생을 두고 끊어지지 않을 아름다운 언약	남자와 여자가 혼인을 하는 일	딸이 시집가는 일	부부 사이의 정	1
501	상식	_번 찍어 안넘어가는 나무 없다	열	백	한	십	1
502	상식	닭 잡아먹고 _ _발 내밀기	거위	토끼	오리	돼지	3
503	상식	_ _ 말에 채찍질 한다	가는	오는	노는	쉬는	1
504	상식	_ _ 도둑이 소도둑 된다	연필	가방	가위	바늘	4
505	상식	바늘 가는 데 _ 간다	실	침	털	탑	1
506	상식	달면 삼키고 _면 뱉는다	쓰	찌	짜	걸	1
507	상식	물과 물고기처럼 서로 떨어질 수 없는 친한 사이	지란지교	오병이어	수어지교	붕우유신	3
508	상식	사욕을 버리고 공익을 위하여 힘씀	살신성인	멸사봉공	친정봉사	사사오입	2
509	상식	겉으로는 같이 행동하면서도 속으로는 각각 딴 생각을 하고 있음	동상이몽	영웅본색	마두출령	청운지지	1
5010	상식	적을 거침없이 물리치고 쳐들어가는 기세	난감할세	파죽지세	박혁거세	지란지세	2
5011	상식	겉으로는 부드럽고 순하게 보이나 속은 곧고 굳셈	수신제가	외유내강	이이제이	치국천하	2
5012	상식	가까운 혈족기리 서로싸움	골다공증	골육	골육상쟁	상쟁	3
5013	상식	누울자리 봐가며 _뻗는다	무릎	발	손	다리	2
5014	상식	가만히 있으면 __이나 간다	가만	백번	조금	중간	4
5015	상식	선을 ___긋다	반듯이	반드시	반듣이	반듯시	1
5016	상식	분노를 ___	사켰다	삭혔다	삮혔다	삭였다	4
5017	상식	___ 수 없는 불길	겉잡을	걷잡을	것잡을	거짜블	2
5018	상식	가가문전	형을 부르는 말	모든 집	집마다의 문앞	너무 우스워서 껄껄 웃음	3
5019	상식	나부지몽	미인을 이르는 말	구름을 손으로 붙잡는다는 뜻	덧없는 한바탕의 꿈	푸닥거리하는 소리	3
5020	상식	삼생가약	삼생을 두고 끊어지지 않을 아름다운 언약	남자와 여자가 혼인을 하는 일	딸이 시집가는 일	부부 사이의 정	1
